Essay topic type,Essay topic,Word limit,College Name,Degree,major,Synopsis,Questions Ivy will ask ,,,,,,,,,,,,,,
extra curricular,"Describe all types of extra-professional activities in which you have been or are still involved for a significant amount of time (clubs, sports, music, arts, politics, etc). How are you enriched by these activities? ",300 words,INSEAD ,MBA,,"Crux of the Topic
INSEAD is asking:

How do you invest your time outside academics/profession?

What values, skills, and perspectives have you developed through these activities?

Will you bring a well-rounded, engaged personality to their global, collaborative community?

They’re not looking for a laundry list — they want stories and impact.

How to Approach It
Mention 2–3 meaningful activities (avoid listing too many).

For each, explain why it matters to you and what you’ve gained.

Balance personal growth (character, resilience, creativity) with community contribution (leadership, collaboration, cultural exchange).

End by tying these activities to the qualities you’ll bring to INSEAD.","Which activities outside academics have you been committed to for the longest time?

Why do these activities matter deeply to you?

What skills, values, or perspectives have they given you?

How have you contributed to others through these pursuits?

How will this enrichment shape your role at INSEAD?",,,,,,,,,,,,,,
,"List your extracurricular activities while in college in order of importance to you. You may include details about your positions and the time commitment, honors or awards received, and dates of participation. The list may also include part-time and summer employment held while in college. Please list your employer, job title, responsibilities, hours per week, and the dates for each position. Limit your response to 250 words or fewer. ",250 words,Cornell University,MBA,,"Crux of the Topic
Cornell wants a snapshot of your priorities and time commitments in college. They’re looking for:

Depth of engagement (not just a long list).

Leadership and initiative (roles, responsibilities, contributions).

Commitment and impact (sustained involvement > one-off activities).

Balance: mix of extracurriculars, service, and possibly work experience.

How to Approach It
List activities in descending order of personal importance, not prestige.

For each, include:

Activity/Employer name

Role/Position

Dates + hours per week

Responsibilities + achievements

Awards/recognition (if any)

Aim for 3–5 strong entries instead of many shallow ones.

Use compact, résumé-like phrasing rather than long sentences.

","Which activity shaped your college experience the most, and why?

Where did you hold leadership or initiative roles?

Did you have part-time or summer jobs that built skills or resilience?

Which achievements or recognitions matter most to you?

How do these activities reflect your values and priorities?",,,,,,,,,,,,,,
Financial Aid,"Please describe any circumstances that you feel create exceptional financial need in your case. Include data on personal, family and parental circumstances as well as employment opportunities and other sources of financial assistance that you have explored. Any additional information that you could provide will assist us in our review. If you do not have exceptional financial need, please explain to the committee why need-based funding should be allocated to you. ",No word limit specified (500 words),Columbia University Columbia Business School,MBA,,"Crux of the Topic
Columbia’s committee wants to understand:

Your financial reality: clear, concrete data about income, expenses, dependents, and special circumstances.

Context: any unusual hardships or barriers (medical bills, unemployment, debt, family responsibilities).

Your efforts: work, savings, or other funding sources you’ve already pursued.

Your character: honesty, responsibility, and commitment to making college possible.

This essay is not about writing style; it’s about credibility, clarity, and sincerity.

How to Approach It
Be direct and factual.

Provide numbers wherever possible (income, expenses, debt, hours worked).

Describe special family circumstances (illness, job loss, single-parent household, multiple dependents).

Show your efforts to help (jobs, scholarships applied for, savings).

Close by reinforcing why need-based aid is essential for your Columbia education.","What is your family’s financial situation (income, debts, dependents)?

Have there been exceptional hardships (illness, unemployment, caregiving)?

What jobs have you held, and how much have you contributed financially?

Which other financial aid sources have you tried?

Why is Columbia’s support essential for you to attend and succeed?",,,,,,,,,,,,,,
Goals,"Please provide details of your post-MBA career plans. The statement should not exceed 500 words and must address the following: 

What are your short and long-term career objectives? How will the Cambridge MBA equip you to achieve these? 

Looking at your short-term career goal, describe the research you have done to understand how this industry/role/location recruits MBA talent and what they are looking for in a candidate? 

How confident do you feel about meeting your short-term career goal? What skills/characteristics do you already have that will help you to achieve them, and what preparation are you doing now? ",500 words,Cambridge University ,MBA,,"Crux of the Topic
Cambridge wants to assess:

Clarity and realism of your career goals (both short- and long-term).

Fit with the Cambridge MBA curriculum and resources.

Evidence of research into your target industry/role/location.

Self-awareness: understanding your strengths, gaps, and current preparation.

Confidence + humility: you must show ambition but also realistic planning.

How to Approach It
Be specific: vague goals (“work in consulting” / “be a leader”) won’t work.

Demonstrate research: mention specific firms, industries, recruiting patterns, and skill requirements.

Show Cambridge fit: reference Judge MBA’s unique offerings (Global Consulting Project, electives, alumni network, Careers Team, leadership labs).

Balance ambition and pragmatism: acknowledge gaps, but show proactive preparation.","What specific role/industry/location do you want immediately after your MBA?

Which firms or sectors have you researched for post-MBA recruiting?

What skills/qualities do these recruiters value most, and which do you already have?

What long-term vision inspires you — and how does it tie to your short-term path?

Which Cambridge Judge resources (curriculum, projects, alumni, career services) are most relevant to your goals?",,,,,,,,,,,,,,
,"Share your short-term professional goals. (50 Words)
Share your long-term professional goals.(50 words)
",50 words + 50 words,Dartmouth College,MBA,,"Crux of the Topic
Tuck is assessing whether you have clear, realistic, and well-aligned career goals that the MBA can support. They want precision — no fluff — and to see a logical connection between your short-term and long-term aspirations.

How to Approach It
Be specific — Include role, function, and industry for both goals.

Show progression — Your long-term goal should naturally evolve from your short-term one.

Demonstrate feasibility — Goals should be ambitious but achievable given your background and Tuck’s resources.

Highlight impact — Especially in the long-term, focus on meaningful contribution or leadership in your field.

Avoid jargon and generic titles — Use language anyone can understand.","What exact role do you aim to secure immediately post-MBA?

In which industry and geography do you want to work short term?

Which skills from Tuck will help you succeed in that role?

What ultimate leadership or impact do you envision?

How will your career create long-term value for others?",,,,,,,,,,,,,,
,Why are you interested in the MBAxMS: Engineering & Applied Science program at Columbia University? What are your career goals after completing the MBAxMS: Engineering & Applied Science program?  ,500 words,Columbia University Columbia Business School,MBA,,"Crux of the Topic
Columbia is looking for:

Clear motivation for pursuing the joint MBA–MS degree — why you need both management and technical depth.

Evidence of fit — how Columbia’s unique resources in business and engineering align with your background and aspirations.

Well-defined career goals — specific, ambitious yet achievable, with a logical link to your past and the program.

Impact vision — how you’ll create value in both business and technical arenas.

How to Approach It
Open with your vision — what problem you want to solve or industry you want to transform.

Show why you need a dual-degree — the interplay of leadership, strategic decision-making, and technical mastery.

Make Columbia-specific connections — highlight relevant MBA courses, engineering labs, faculty, research centers, cross-disciplinary initiatives, and NYC’s innovation ecosystem.

Be precise with career goals — short-term role, industry, company type; long-term leadership vision.

End with impact statement — contribution to both business success and societal/technological progress.

","What challenge or opportunity excites you enough to pursue a dual MBA–MS?

Which technical skills do you want to deepen during the MS portion?

Which leadership or business skills do you want from the MBA side?

Which Columbia-specific resources most align with your vision?

What role will you aim for immediately after graduation, and what’s your ultimate career goal?",,,,,,,,,,,,,,
,"mmediately post-MBA my goal is to work as a(n) ___(Role)___ at __(Company)__ within __(Industry)__. 

In 5-10 years post-MBA my goal is to work as a(n) ___(Role)___ at __(Company)__ within __(Industry)__. 

How has your experience prepared and encouraged you to pursue these goals?* ",350 words,Cornell University,MBA,,"Crux of the Topic
Cornell wants to see:

Clarity & specificity in both short-term and long-term career goals (role, company type, industry).

Logical progression — how the short-term goal leads to the long-term vision.

Evidence of preparation — skills, experiences, and achievements that show you can succeed in your goals.

Personal motivation — why these goals matter to you.

How to Approach It
Be precise — name the role, company (or type of company), and industry for both goals.

Keep the short-term goal achievable and aligned with your pre-MBA experience + MBA resources.

Make the long-term goal ambitious but realistic, with a clear connection to your short-term role.

In the “how prepared” section, integrate professional achievements, skills gained, and personal motivations.

End with a confident link to how Cornell will bridge the gap between now and your goals (even if not explicitly asked, it’s smart to include).","What exact role, company, and industry are you targeting right after your MBA?

What is your long-term leadership vision and impact in 5–10 years?

Which experiences best prepared you for these roles?

What skills do you still need to develop?

How will Johnson help you bridge the gap?",,,,,,,,,,,,,,
, What are your post-MBA goals and how will your prior experience and the London Business School programme contribute towards these?,500 words,London Business School,MBA,,"Crux of the Topic
LBS wants to see:

Clarity — specific, realistic short-term and long-term goals (role, company type, industry, geography).

Logical connection between past experience, MBA learning, and those goals.

Fit with LBS — why their MBA is uniquely positioned to help you achieve these objectives.

Global perspective & contribution — how you’ll leverage LBS’s international network and diverse student body.

How to Approach It
Open with a concise vision statement — your short- and long-term goals.

Provide context from your career so far — achievements, skills, and industry insights that serve as a foundation.

Identify skill/knowledge gaps that the LBS MBA will fill.

Show deep familiarity with LBS — specific courses, clubs, faculty, London location advantages, and the global alumni network.

End with impact — both personal career success and contribution to business and society.","What exact role, company, and industry are you targeting right after your MBA?

What’s your 5–10 year leadership vision?

Which achievements best demonstrate your readiness for that path?

What specific skills or experiences are missing that LBS can provide?

Which LBS courses, clubs, or global opportunities are most relevant to your plan?",,,,,,,,,,,,,,
,"In 250-500 words please describe your educational goals and those academic and/or professional achievements which have contributed most to your development. Also indicate your expected career track (examples include, but are not limited to, investment advisory, equity or credit analysis, professional accounting, consulting, and research) and describe how the Master of Science in Accounting and Fundamental Analysis will help you attain your career goals ",500 words,Columbia University Columbia Business School,MBA,,"Crux of the Topic
CBS is looking for:

Clear educational goals — what you aim to learn and master in the program.

Evidence of capability — past academic/professional achievements that demonstrate readiness.

Career clarity — a defined track and target role.

Program fit — why this program at CBS is the best route to your goals.

How to Approach It
Open with a concise career vision that links your academic and professional background to your ambitions.

Describe educational goals — technical expertise, analytical frameworks, industry-specific skills.

Highlight 2–3 academic or professional achievements — focus on results, leadership, and relevance to finance/accounting.

State your target career track — be specific (role, industry, type of employer).

Make a clear “Why CBS” case — mention MSAFA’s specialized courses, faculty expertise, industry connections, and NYC location.

End with a confident statement on your readiness and intended contribution to CBS.","What is your ultimate career aspiration and target role post-MSAFA?

Which academic experiences have best prepared you for this program?

Which professional achievements show your ability to handle high-level finance work?

What specific skills do you want to gain at CBS?

Which MSAFA courses, faculty, or resources align with your goals?",,,,,,,,,,,,,,
,"Darden’s Career Center delivers personalized career searches, support and resources to empower students in their goals to create value as purpose-driven leaders. The team of dedicated, expert career coaches spans every major industry, function and geography and collectively represent over one hundred years of coaching experience. Coaches are prepared to support students wherever they are in their search, as career goals shift and evolve while pursuing an MBA. 

Through a wide variety of career-related programming, students gain lifelong skills they will continue to leverage throughout their careers. And this support continues after graduation - All Darden graduates have access to complimentary career support for life through Darden’s Alumni Career Services. 

How does an MBA fit into your career plan?",150 words,Darden ,MBA,,"Crux of the Topic
Darden wants:

Clear short-term and long-term career goals — roles, industries, and impact.

Logical fit — why you need an MBA now.

Relevance to Darden — how their resources (case method, Career Center, alumni network) will help you achieve your goals.

How to Approach It
Be concise — one sentence each for short- and long-term goals.

One or two sentences on why you need an MBA now.

One or two sentences on how Darden’s offerings align with your goals.

Keep it forward-looking and purpose-driven.","What is your short-term post-MBA role, industry, and geography?

What is your 5–10 year career vision?

What skills do you need to reach these goals?

Why is now the right time for your MBA?

Which Darden resources most align with your needs?",,,,,,,,,,,,,,
,Describe your short-term and long-term career objectives. Be as specific as you can concerning the types of positions and responsibility levels to which you aspire. Describe how earning the UB MBA will help you achieve your goals. ,700 words,University of Buffalo ,MBA,,"Crux of the Topic
UB is looking for:

Clarity — specific, well-defined short- and long-term career goals.

Ambition with realism — goals that are both achievable and aspirational.

Logical progression — how your short-term goal leads to the long-term vision.

Strong fit — why the UB MBA, in particular, is the best bridge between your current skills and your desired career path.

How to Approach It
Be specific with roles, industries, and responsibilities.

Tie your goals to your past experience so they feel grounded.

Identify gaps in skills, network, and knowledge that UB can fill.

Show familiarity with UB’s curriculum, faculty, experiential learning, and career services.

End with a forward-looking impact statement — how your career will benefit not just you but your organization, industry, or community.","What is your exact target job title, company type, and industry for your short-term goal?

What is your ultimate long-term leadership vision?

Which past achievements best demonstrate your readiness for this path?

What skills, networks, or experiences do you lack today?

Which specific UB MBA resources are most relevant to your goals?",,,,,,,,,,,,,,
,Discuss your short and long term career aspirations with an MBA from INSEAD. (100 words maximum) * ,100 words,INSEAD ,MBA,,"Crux of the Topic
INSEAD wants:

Specific career goals — short and long term.

Global perspective — ideally cross-border or multi-market ambitions.

Logical link to your background and INSEAD’s global MBA resources.

How to Approach It
Be crisp and concrete — role, industry, geography, and scope.

Show progression from short- to long-term goals.

Tie INSEAD’s global network, diverse cohort, and accelerated program directly to enabling those goals.","What is your exact target role, industry, and geography for your short-term goal?

What long-term leadership role do you envision, and what global or industry impact will you create?

How does your current experience prepare you for these goals?

Why is INSEAD’s global and accelerated MBA uniquely suited to help you?

Which INSEAD resources (network, campus diversity, electives) are most relevant to your path?",,,,,,,,,,,,,,
,"Use this short-answer section to succinctly share your short- and long-term goals. If you’re invited to interview, you will have the opportunity to elaborate on your statement further, and you should be prepared to connect your prior experience with your future aspirations. 

Goals Statement Prompt: A statement of your goals will begin a conversation that will last throughout the admissions process and guide your steps during the MBA program and experience. To the best of your understanding today, please share your short and long term goals by completing the following sentences and answering the enclosed short answer question (350 words maximum): ",350 words,Cornell University,MBA,,"Crux of the Topic
Cornell wants:

Clarity — precise, well-defined goals (role, company type, industry, geography).

Logical progression — how short-term leads to long-term.

Connection to background — how prior experience supports your plan.

Readiness for the MBA — awareness of skills to gain.

How to Approach It
Complete the given sentences clearly and concisely:
Immediately post-MBA, my goal is to work as a(n) ___ at ___ within ___.
In 5-10 years post-MBA, my goal is to work as a(n) ___ at ___ within ___.

Then, in paragraph form, explain:

How your past experience prepares you.

Why these goals matter to you.

Skills or exposure you need from the MBA.

Briefly tie to Cornell — even if not explicitly asked, it shows fit.","What exact role, company type, and geography are you targeting immediately post-MBA?

What is your long-term leadership vision, and what impact will you have?

Which past experiences best position you for these goals?

What skills or networks do you still need to build?

Which Johnson resources are most relevant to your journey?

",,,,,,,,,,,,,,
,"Through your resume and recommendations, we have a clear sense of your professional path to date. What are your career goals over the next 3-5 years and what, in your imagination, would be your long-term dream job? (500 words) ",500 words,Columbia University Columbia Business School,MBA,,"Crux of the Topic
CBS wants:

Specific short-term and long-term goals — roles, industries, geographies, and responsibilities.

Logical progression — how the 3–5 year plan leads to the dream job.

Ambition with credibility — goals that are inspiring yet grounded in your skills and experience.

Motivation & impact — why these goals matter to you personally and professionally.

How to Approach It
Short-term (3–5 years): Focus on a role and company type that builds directly on your experience and will equip you for the long-term.

Long-term: The dream job should be bold but realistic, demonstrating leadership, vision, and industry impact.

Provide rationale: Why this path excites you and what value you aim to create.

Tie in CBS implicitly — showing you know the gaps an MBA will fill without repeating the “Why CBS” essay.","What exact role, company type, and geography do you want 3–5 years post-MBA?

What’s your ultimate dream job title and scope of responsibility?

Why does this path excite you personally?

Which professional achievements have best prepared you for it?

What skills or exposure do you still need before reaching the long-term goal?",,,,,,,,,,,,,,
,"1. Describe below your immediate plan after graduating from the MBA 

2. How does your preferred sector in your preferred location recruit MBA talent and what do they look for in a candidate? Describe the research you have done so far. 

3. Reflecting on your answer above, how do you meet these requirements? 

4. What do you plan to do between now and starting your MBA to prepare and maximise your chances of success? 

5. Should you not be successful in securing your first choice of role, what is your alternative ",not mentioned,Oxford University Saïd Business School ,MBA,,"Oxford wants:

Career clarity — a defined immediate goal (role, sector, geography).

Evidence of research — showing you understand how recruitment works in your target field/location.

Self-awareness — proof you meet the requirements and know your gaps.

Proactive preparation — a plan for building competitiveness before you start.

Flexibility — a realistic, strategic backup plan.

How to Approach It
Keep the structure aligned with the numbered questions — this makes it easy for the reader to follow.

Be specific: role titles, company examples, required skills, recruitment timelines.

Show credible research: networking conversations, alumni insights, industry reports, recruiter data.

Be honest but positive when discussing gaps — focus on steps you’ll take to fill them.

Backup plan should be different but related to your first choice (same skills, different function/industry, or vice versa).","What’s your exact immediate post-MBA role, sector, and location?

Which companies hire MBAs in your field and how do they recruit?

What specific skills and qualities do they seek?

Which of those do you already have and which do you need to build?

What’s your realistic backup plan that still moves you toward your long-term goal?",,,,,,,,,,,,,,
,What are your short term and long-term career goals? How will Post Graduate Program at ISB assist you in achieving your goals? ,400 words,Indian School of Business,MBA,,"Crux of the Topic:
ISB is looking for clarity, ambition, and alignment. They want candidates who have thoughtful, achievable career goals and who can clearly articulate how ISB’s program is instrumental in reaching them.

How to Approach It:
Begin by stating your short-term goal — role, industry, and location — in the 1–3 years post-ISB. Then transition to your long-term goal — a larger leadership position or broader impact. These goals should be logically connected, and your current background should make them credible.

Then show how ISB fills your key knowledge or network gaps: specific courses, faculty, clubs, peer learning, or global exposure. Be specific and personal in how you frame ISB’s value.","What specific role and industry are you targeting right after ISB?

What long-term impact or leadership goal do you envision for yourself?

How does your current experience position you for this path?

What skills or exposure are you lacking right now?

Which aspects of ISB’s program directly match your growth needs?",,,,,,,,,,,,,,
Hobbies,Please list any hobbies or activities that hold special significance for you. Limit your response to 250 words or fewer. ,250 words,Cornell University,MBA,,"Crux of the Topic
Cornell wants to see:

Personality and passion — who you are outside of work.

Depth over breadth — not just a list, but the meaning behind each activity.

Potential contributions — how these hobbies might enrich the MBA community.

How to Approach It
Pick 2–3 activities that reveal different dimensions of you — cultural, creative, athletic, service-oriented, or intellectual.

For each, briefly explain:

What the hobby/activity is.

Why it matters to you.

How it’s shaped your character, skills, or worldview.

If relevant, show how you might continue these at Cornell (clubs, initiatives, events).","Which hobbies or activities have you been consistently involved in for years?

Which ones reflect your values or cultural identity?

Have any taught you leadership, resilience, or teamwork?

Which could you bring into the Cornell MBA community?

Do any connect to your long-term personal or professional goals?",,,,,,,,,,,,,,
